NAV_PERMS,FA Manager 3,Clean_NAV,TO_CHAR(A.PORTAL_NAVPATH),ITEMLABEL,Unnamed: 2,Menu,Menubar,MENUITEM2,Page,Display only,Actions,7,OBJECTOWNERID,XLATLONGNAME,XLATSHORTNAME,COMPONENT,PNLNAME,PORTAL_OBJNAME
Main Menu>Student Admissions>Applicant Summaries>Application Materials Summary:0:Update/Display,x,Main Menu>Student Admissions>Applicant Summaries>Application Materials Summary,Main Menu>Student Admissions>Applicant Summaries>Application Materials Summary,Academic &Subjects Summary,,EVALUATE_APPLICANTS,INQUIRE,APPL_SUMMARY,APPL_SUBJ_SUMMARY,0,2,2,SAD,Recruiting and Admissions,Admissions,APPL_SUMMARY_ADMM,APPL_SUBJ_SUMMARY,HC_APPL_SUMMARY_ADMM_GBL
Main Menu>Student Admissions>Applicant Summaries>Application Materials Summary:0:Update/Display,x,Main Menu>Student Admissions>Applicant Summaries>Application Materials Summary,Main Menu>Student Admissions>Applicant Summaries>Application Materials Summary,T&ranscripts Summary,,EVALUATE_APPLICANTS,INQUIRE,APPL_SUMMARY,APPL_TRNS_SUMMARY,0,2,2,SAD,Recruiting and Admissions,Admissions,APPL_SUMMARY_ADMM,APPL_TRNS_SUMMARY,HC_APPL_SUMMARY_ADMM_GBL
Main Menu>Student Admissions>3 C's and Event Summaries>Checklist Summary:0:Update/Display,x,Main Menu>Student Admissions>3 C's and Event Summaries>Checklist Summary,Main Menu>Student Admissions>3 C's and Event Summaries>Checklist Summary,&Checklist Summary,,EVALUATE_APPLICANTS,INQUIRE,CHECKLIST_SUMMARY,CHECKLIST_SUMMARY,0,2,2,SAD,Recruiting and Admissions,Admissions,CHKLST_SUMM_ADMM,PERS_CHKLST_SUMM,HC_CHKLST_SUMM_ADMM_GBL
Main Menu>Student Admissions>3 C's and Event Summaries>Checklist Summary:0:Update/Display,x,Main Menu>Student Admissions>3 C's and Event Summaries>Checklist Summary,Main Menu>Student Admissions>3 C's and Event Summaries>Checklist Summary,&Operator 3C Groups Summary,,EVALUATE_APPLICANTS,INQUIRE,CHECKLIST_SUMMARY,OPERATOR_3C_GROUPS_SUM,0,2,2,SAD,Recruiting and Admissions,Admissions,CHKLST_SUMM_ADMM,OPR_GRP_3C_SUM,HC_CHKLST_SUMM_ADMM_GBL
Main Menu>Student Admissions>3 C's and Event Summaries>Comment Summary:0:Update/Display,x,Main Menu>Student Admissions>3 C's and Event Summaries>Comment Summary,Main Menu>Student Admissions>3 C's and Event Summaries>Comment Summary,&Operator 3C Groups Summary,,EVALUATE_APPLICANTS,INQUIRE,COMMENT_SUMMARY,OPERATOR_3C_GROUPS_SUM,0,2,2,SAD,Recruiting and Admissions,Admissions,OPR_3C_SUM_ADMM,OPR_GRP_3C_SUM,HC_OPR_3C_SUM_ADMM_GBL
Main Menu>Student Admissions>3 C's and Event Summaries>Comment Summary:0:Update/Display,x,Main Menu>Student Admissions>3 C's and Event Summaries>Comment Summary,Main Menu>Student Admissions>3 C's and Event Summaries>Comment Summary,Comment &Summary,,EVALUATE_APPLICANTS,INQUIRE,COMMENT_SUMMARY,COMMENT_SUMMARY,0,2,2,SAD,Recruiting and Admissions,Admissions,OPR_3C_SUM_ADMM,CMNT_SUMMARY,HC_OPR_3C_SUM_ADMM_GBL
Main Menu>Student Admissions>3 C's and Event Summaries>Communication Summary:0:Update/Display,x,Main Menu>Student Admissions>3 C's and Event Summaries>Communication Summary,Main Menu>Student Admissions>3 C's and Event Summaries>Communication Summary,&Operator 3C Groups Summary,,EVALUATE_APPLICANTS,INQUIRE,COMMUNICATION_SUMMARY,OPERATOR_3C_GROUPS_SUM,0,2,2,SAD,Recruiting and Admissions,Admissions,COMM_SUMMARY_ADMM,OPR_GRP_3C_SUM,HC_COMM_SUMMARY_ADMM_GBL
Main Menu>Student Admissions>3 C's and Event Summaries>Communication Summary:0:Update/Display,x,Main Menu>Student Admissions>3 C's and Event Summaries>Communication Summary,Main Menu>Student Admissions>3 C's and Event Summaries>Communication Summary,Communication Summar&y,,EVALUATE_APPLICANTS,INQUIRE,COMMUNICATION_SUMMARY,COMMUNICATION_SUMMARY,0,2,2,SAD,Recruiting and Admissions,Admissions,COMM_SUMMARY_ADMM,COMM_SUMMARY,HC_COMM_SUMMARY_ADMM_GBL
Main Menu>Student Admissions>Applicant Summaries>Education Summary:0:Update/Display,x,Main Menu>Student Admissions>Applicant Summaries>Education Summary,Main Menu>Student Admissions>Applicant Summaries>Education Summary,External &Academic Summary,,EVALUATE_APPLICANTS,INQUIRE,EDUCATION_SUMMARY,EXTERNAL_ACADEMIC_SUMMARY,0,2,2,SAD,Recruiting and Admissions,Admissions,EDUC_SUMMARY_ADMM,EXT_ACAD_SUMMARY,HC_EDUC_SUMMARY_ADMM_GBL
Main Menu>Student Admissions>Applicant Summaries>Education Summary:0:Update/Display,x,Main Menu>Student Admissions>Applicant Summaries>Education Summary,Main Menu>Student Admissions>Applicant Summaries>Education Summary,External &Course Summary,,EVALUATE_APPLICANTS,INQUIRE,EDUCATION_SUMMARY,EXTERNAL_COURSE_SUMMARY,0,2,2,SAD,Recruiting and Admissions,Admissions,EDUC_SUMMARY_ADMM,EXT_COURSE_SUMMARY,HC_EDUC_SUMMARY_ADMM_GBL
Main Menu>Student Admissions>Applicant Summaries>Education Summary:0:Update/Display,x,Main Menu>Student Admissions>Applicant Summaries>Education Summary,Main Menu>Student Admissions>Applicant Summaries>Education Summary,External &Degree Summary,,EVALUATE_APPLICANTS,INQUIRE,EDUCATION_SUMMARY,EXTERNAL_DEGREE_SUMMARY,0,2,2,SAD,Recruiting and Admissions,Admissions,EDUC_SUMMARY_ADMM,EXT_DEGREE_SUMMARY,HC_EDUC_SUMMARY_ADMM_GBL
