NAV_PERMS,FA Manager 3,Clean_NAV
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Direct Loan Change Rules:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>Direct Loan Change Rules
Main Menu>Set Up SACR>Product Related>Financial Aid>Application Processing>Maintain NSLDS Codes:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Application Processing>Maintain NSLDS Codes
Main Menu>Set Up SACR>Product Related>Financial Aid>Pell Grants>Pell ID Attending:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Pell Grants>Pell ID Attending
Main Menu>Set Up SACR>Product Related>Financial Aid>Pell Grants>Pell Comment Code:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Pell Grants>Pell Comment Code
Main Menu>Set Up SACR>Product Related>Financial Aid>Pell Grants>Pell Payment:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Pell Grants>Pell Payment
Main Menu>Set Up SACR>Product Related>Financial Aid>Define Demographic Data Use:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Define Demographic Data Use
Main Menu>Financial Aid>Disbursement>View Calendar Settings:0:Update/Display,x,Main Menu>Financial Aid>Disbursement>View Calendar Settings
Main Menu>Set Up SACR>Product Related>Financial Aid>Aid Year>Valid Programs for Aid Year:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Aid Year>Valid Programs for Aid Year
Main Menu>Set Up SACR>Product Related>Financial Aid>Aid Year>School Codes for Institution:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Aid Year>School Codes for Institution
Main Menu>Set Up SACR>Product Related>Financial Aid>COD>SULA Load Rules:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>COD>SULA Load Rules
Main Menu>Set Up SACR>Common Definitions>Self Service>Financial Aid>Self Service Loan Status:0:Update/Display,x,Main Menu>Set Up SACR>Common Definitions>Self Service>Financial Aid>Self Service Loan Status
Main Menu>Set Up SACR>Product Related>Financial Aid>Aid Year>Term Values Cross Reference:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Aid Year>Term Values Cross Reference
Main Menu>Financial Aid>File Management>ISIR Corrections>Enter FAFSA Signatures:0:Update/Display,x,Main Menu>Financial Aid>File Management>ISIR Corrections>Enter FAFSA Signatures
Main Menu>Financial Aid>File Management>NSLDS>Review NSLDS Flagged Students:0:Update/Display,x,Main Menu>Financial Aid>File Management>NSLDS>Review NSLDS Flagged Students
Main Menu>Financial Aid>File Management>NSLDS>NSLDS Suspense Management:0:Update/Display,x,Main Menu>Financial Aid>File Management>NSLDS>NSLDS Suspense Management
Main Menu>Financial Aid>File Management>PROFILE Import>Delete PROFILE Records:0:Update/Display,x,Main Menu>Financial Aid>File Management>PROFILE Import>Delete PROFILE Records
Main Menu>Financial Aid>File Management>PROFILE Import>Load Summary:0:Update/Display,x,Main Menu>Financial Aid>File Management>PROFILE Import>Load Summary
Main Menu>Financial Aid>File Management>ISIR Import>2023-2024 ISIR File Data:0:Update/Display,x,Main Menu>Financial Aid>File Management>ISIR Import>2023-2024 ISIR File Data
Main Menu>Financial Aid>File Management>ISIR Corrections>View 2023-2024 Outbound Files:0:Update/Display,x,Main Menu>Financial Aid>File Management>ISIR Corrections>View 2023-2024 Outbound Files
Main Menu>Financial Aid>File Management>ISIR Corrections>View 2023-2024 Outbound Data:0:Update/Display,x,Main Menu>Financial Aid>File Management>ISIR Corrections>View 2023-2024 Outbound Data
Main Menu>Financial Aid>File Management>ISIR Import>2023-2024 Suspense Management:0:Update/Display,x,Main Menu>Financial Aid>File Management>ISIR Import>2023-2024 Suspense Management
Main Menu>Financial Aid>Federal Application Data>Manage Corrected ISIR Data:0:Update/Display,x,Main Menu>Financial Aid>Federal Application Data>Manage Corrected ISIR Data
Main Menu>Financial Aid>File Management>Review CPS/NSLDS Transactions:0:Update/Display,x,Main Menu>Financial Aid>File Management>Review CPS/NSLDS Transactions
Main Menu>Financial Aid>File Management>ISIR Corrections>Modify ISIR School Recipients:0:Update/Display,x,Main Menu>Financial Aid>File Management>ISIR Corrections>Modify ISIR School Recipients
Main Menu>Financial Aid>File Management>ISIR Corrections>View 2024-2025 Outbound Files:0:Update/Display,x,Main Menu>Financial Aid>File Management>ISIR Corrections>View 2024-2025 Outbound Files
Main Menu>Financial Aid>File Management>ISIR Corrections>View 2024-2025 Outbound Data:0:Update/Display,x,Main Menu>Financial Aid>File Management>ISIR Corrections>View 2024-2025 Outbound Data
Main Menu>Financial Aid>File Management>ISIR Import>2024-2025 Suspense Management:0:Update/Display,x,Main Menu>Financial Aid>File Management>ISIR Import>2024-2025 Suspense Management
Main Menu>Financial Aid>File Management>ISIR Import>2024-2025 ISIR File Data:0:Update/Display,x,Main Menu>Financial Aid>File Management>ISIR Import>2024-2025 ISIR File Data
Main Menu>Financial Aid>File Management>ISIR Corrections>View 2021-2022 Outbound Files:0:Update/Display,x,Main Menu>Financial Aid>File Management>ISIR Corrections>View 2021-2022 Outbound Files
Main Menu>Financial Aid>File Management>ISIR Import>2022-2023 ISIR File Data:0:Update/Display,x,Main Menu>Financial Aid>File Management>ISIR Import>2022-2023 ISIR File Data
Main Menu>Financial Aid>File Management>ISIR Corrections>View 2022-2023 Outbound Files:0:Update/Display,x,Main Menu>Financial Aid>File Management>ISIR Corrections>View 2022-2023 Outbound Files
Main Menu>Financial Aid>File Management>ISIR Corrections>View 2022-2023 Outbound Data:0:Update/Display,x,Main Menu>Financial Aid>File Management>ISIR Corrections>View 2022-2023 Outbound Data
Main Menu>Financial Aid>File Management>ISIR Import>2022-2023 Suspense Management:0:Update/Display,x,Main Menu>Financial Aid>File Management>ISIR Import>2022-2023 Suspense Management
Main Menu>Financial Aid>File Management>ISIR Corrections>View 2021-2022 Outbound Data:0:Update/Display,x,Main Menu>Financial Aid>File Management>ISIR Corrections>View 2021-2022 Outbound Data
Main Menu>Financial Aid>Financial Aid History>Federal ISIR Information>2016-2017 Suspense Management:0:Update/Display,x,Main Menu>Financial Aid>Financial Aid History>Federal ISIR Information>2016-2017 Suspense Management
Main Menu>Financial Aid>Financial Aid History>Application Information>Institutional Detail 2016-2017:0:Update/Display,x,Main Menu>Financial Aid>Financial Aid History>Application Information>Institutional Detail 2016-2017
Main Menu>Financial Aid>Financial Aid History>View Archived Application Data:0:Update/Display,x,Main Menu>Financial Aid>Financial Aid History>View Archived Application Data
Main Menu>Financial Aid>Financial Aid History>Application Information>View Prior Year(s) Application:0:Update/Display,x,Main Menu>Financial Aid>Financial Aid History>Application Information>View Prior Year(s) Application
Main Menu>Financial Aid>Financial Aid History>View Return of Title IV Funds>View Worksheet:0:Update/Display,x,Main Menu>Financial Aid>Financial Aid History>View Return of Title IV Funds>View Worksheet
Main Menu>Financial Aid>Financial Aid History>View Return of Title IV Funds>View Summary of TIV Return:0:Update/Display,x,Main Menu>Financial Aid>Financial Aid History>View Return of Title IV Funds>View Summary of TIV Return
Main Menu>Financial Aid>Financial Aid History>View Return of Title IV Funds>View Track PW Disbursement:0:Update/Display,x,Main Menu>Financial Aid>Financial Aid History>View Return of Title IV Funds>View Track PW Disbursement
Main Menu>Financial Aid>Financial Aid History>View Return of Title IV Funds>View Track TIV Funds Return:0:Update/Display,x,Main Menu>Financial Aid>Financial Aid History>View Return of Title IV Funds>View Track TIV Funds Return
Main Menu>Financial Aid>Financial Aid History>View Archived Direct Loan Data:0:Update/Display,x,Main Menu>Financial Aid>Financial Aid History>View Archived Direct Loan Data
Main Menu>Financial Aid>Financial Aid History>Federal ISIR Information>2016-2017 ISIR File Data:0:Update/Display,x,Main Menu>Financial Aid>Financial Aid History>Federal ISIR Information>2016-2017 ISIR File Data
Main Menu>Financial Aid>Financial Aid History>Application Information>Institutional Detail 2017-2018:0:Update/Display,x,Main Menu>Financial Aid>Financial Aid History>Application Information>Institutional Detail 2017-2018
Main Menu>Financial Aid>Financial Aid History>Federal ISIR Information>2017-2018 ISIR File Data:0:Update/Display,x,Main Menu>Financial Aid>Financial Aid History>Federal ISIR Information>2017-2018 ISIR File Data
Main Menu>Financial Aid>Financial Aid History>Federal ISIR Information>2017-2018 Suspense Management:0:Update/Display,x,Main Menu>Financial Aid>Financial Aid History>Federal ISIR Information>2017-2018 Suspense Management
Main Menu>Financial Aid>Financial Aid History>Application Information>View 2018 Verification Data:0:Update/Display,x,Main Menu>Financial Aid>Financial Aid History>Application Information>View 2018 Verification Data
Main Menu>Financial Aid>Federal Application Data>Simulate 2018-2019 FM INAS:0:Update/Display,x,Main Menu>Financial Aid>Federal Application Data>Simulate 2018-2019 FM INAS
Main Menu>Financial Aid>Federal Application Data>Simulate 2022-2023 FM INAS:0:Update/Display,x,Main Menu>Financial Aid>Federal Application Data>Simulate 2022-2023 FM INAS
Main Menu>Financial Aid>Institutional Application Data>View 2022-2023 IM EFC Detail:0:Update/Display,x,Main Menu>Financial Aid>Institutional Application Data>View 2022-2023 IM EFC Detail
Main Menu>Financial Aid>Federal Application Data>Simulate 2019-2020 FM INAS:0:Update/Display,x,Main Menu>Financial Aid>Federal Application Data>Simulate 2019-2020 FM INAS
Main Menu>Financial Aid>Federal Application Data>Simulate 2020-2021 FM INAS:0:Update/Display,x,Main Menu>Financial Aid>Federal Application Data>Simulate 2020-2021 FM INAS
Main Menu>Financial Aid>Budgets>View Student Budget Summary:0:Update/Display,x,Main Menu>Financial Aid>Budgets>View Student Budget Summary
Main Menu>Financial Aid>Institutional Application Data>View Profile Audit Fields:0:Update/Display,x,Main Menu>Financial Aid>Institutional Application Data>View Profile Audit Fields
Main Menu>Financial Aid>Federal Application Data>View ISIR Field Audits:0:Update/Display,x,Main Menu>Financial Aid>Federal Application Data>View ISIR Field Audits
Main Menu>Financial Aid>Budgets>View Batch Budget Details:0:Update/Display,x,Main Menu>Financial Aid>Budgets>View Batch Budget Details
Main Menu>Financial Aid>Verification>View Verification Detail:0:Update/Display,x,Main Menu>Financial Aid>Verification>View Verification Detail
Main Menu>Financial Aid>Verification>View Verification Summary:0:Update/Display,x,Main Menu>Financial Aid>Verification>View Verification Summary
Main Menu>Financial Aid>Verification>View Batch Consolidation:0:Update/Display,x,Main Menu>Financial Aid>Verification>View Batch Consolidation
Main Menu>Financial Aid>Verification>Perform Auto Verification:0:Update/Display,x,Main Menu>Financial Aid>Verification>Perform Auto Verification
Main Menu>Financial Aid>Institutional Application Data>View 2023-2024 IM EFC Detail:0:Update/Display,x,Main Menu>Financial Aid>Institutional Application Data>View 2023-2024 IM EFC Detail
Main Menu>Financial Aid>Federal Application Data>Simulate 2023-2024 FM:0:Update/Display,x,Main Menu>Financial Aid>Federal Application Data>Simulate 2023-2024 FM
Main Menu>Financial Aid>Disbursement>Maintain User Edit Messages:0:Update/Display,x,Main Menu>Financial Aid>Disbursement>Maintain User Edit Messages
Main Menu>Financial Aid>Budgets>Create Student Budget:0:Update/Display,x,Main Menu>Financial Aid>Budgets>Create Student Budget
Main Menu>Financial Aid>Federal Application Data>Simulate 2017-2018 FM INAS:0:Update/Display,x,Main Menu>Financial Aid>Federal Application Data>Simulate 2017-2018 FM INAS
Main Menu>Financial Aid>Institutional Application Data>View 2024-2025 IM EFC Detail:0:Update/Display,x,Main Menu>Financial Aid>Institutional Application Data>View 2024-2025 IM EFC Detail
Main Menu>Financial Aid>Verification>Manage 2024-2025 Verification:0:Update/Display,x,Main Menu>Financial Aid>Verification>Manage 2024-2025 Verification
Main Menu>Financial Aid>Federal Application Data>Simulate 2021-2022 FM INAS:0:Update/Display,x,Main Menu>Financial Aid>Federal Application Data>Simulate 2021-2022 FM INAS
Main Menu>Financial Aid>Awards>Aggregates>View Aggregate Aid:0:Update/Display,x,Main Menu>Financial Aid>Awards>Aggregates>View Aggregate Aid
Main Menu>Financial Aid>Awards>View Anticipated Aid Item Type:0:Update/Display,x,Main Menu>Financial Aid>Awards>View Anticipated Aid Item Type
Main Menu>Financial Aid>Awards>View Anticipated Aid by Term:0:Update/Display,x,Main Menu>Financial Aid>Awards>View Anticipated Aid by Term
Main Menu>Financial Aid>Awards>View by Date:0:Update/Display,x,Main Menu>Financial Aid>Awards>View by Date
Main Menu>Financial Aid>Awards>View Award Activity:0:Update/Display,x,Main Menu>Financial Aid>Awards>View Award Activity
Main Menu>Financial Aid>Awards>View Award Category Summary:0:Update/Display,x,Main Menu>Financial Aid>Awards>View Award Category Summary
Main Menu>Financial Aid>Awards>Notification Letter>Award Notification Inquiry:0:Update/Display,x,Main Menu>Financial Aid>Awards>Notification Letter>Award Notification Inquiry
Main Menu>Financial Aid>Fund Management>Fiscal Aggregate Summary:0:Update/Display,x,Main Menu>Financial Aid>Fund Management>Fiscal Aggregate Summary
Main Menu>Financial Aid>Awards>External Awards>External Award Load Detail:0:Update/Display,x,Main Menu>Financial Aid>Awards>External Awards>External Award Load Detail
Main Menu>Financial Aid>Awards>External Awards>External Award Load Summary:0:Update/Display,x,Main Menu>Financial Aid>Awards>External Awards>External Award Load Summary
Main Menu>Financial Aid>Awards>External Awards>View Data File Staging Results:0:Update/Display,x,Main Menu>Financial Aid>Awards>External Awards>View Data File Staging Results
Main Menu>Financial Aid>Awards>Aggregates>View Aggregate Program Summary:0:Update/Display,x,Main Menu>Financial Aid>Awards>Aggregates>View Aggregate Program Summary
Main Menu>Financial Aid>Awards>View Term Award Summary:0:Update/Display,x,Main Menu>Financial Aid>Awards>View Term Award Summary
Main Menu>Financial Aid>Disbursement>View Disbursement Status:0:Update/Display,x,Main Menu>Financial Aid>Disbursement>View Disbursement Status
Main Menu>Financial Aid>Awards>Mass Packaging>View Mass Packaging Errors:0:Update/Display,x,Main Menu>Financial Aid>Awards>Mass Packaging>View Mass Packaging Errors
Main Menu>Financial Aid>Awards>Mass Packaging>View Mass Packaging Details:0:Update/Display,x,Main Menu>Financial Aid>Awards>Mass Packaging>View Mass Packaging Details
Main Menu>Financial Aid>Awards>Mass Packaging>View Mass Packaging Summary:0:Update/Display,x,Main Menu>Financial Aid>Awards>Mass Packaging>View Mass Packaging Summary
Main Menu>Financial Aid>Awards>Repackaging>View Batch Repackaging Details:0:Update/Display,x,Main Menu>Financial Aid>Awards>Repackaging>View Batch Repackaging Details
Main Menu>Financial Aid>Awards>Repackaging>View Batch Repackaging Errors:0:Update/Display,x,Main Menu>Financial Aid>Awards>Repackaging>View Batch Repackaging Errors
Main Menu>Financial Aid>Awards>Repackaging>View Batch Repackaging Summary:0:Update/Display,x,Main Menu>Financial Aid>Awards>Repackaging>View Batch Repackaging Summary
Main Menu>Financial Aid>Awards>External Awards>View Self Reported Aid:0:Update/Display,x,Main Menu>Financial Aid>Awards>External Awards>View Self Reported Aid
Main Menu>Financial Aid>View Financial Aid Status:0:Update/Display,x,Main Menu>Financial Aid>View Financial Aid Status
Main Menu>Financial Aid>Awards>Award Processing>Expire Anticipated Aid:0:Update/Display,x,Main Menu>Financial Aid>Awards>Award Processing>Expire Anticipated Aid
Main Menu>Financial Aid>Awards>Award Processing>Assign Awards to a Student:0:Update/Display,x,Main Menu>Financial Aid>Awards>Award Processing>Assign Awards to a Student
Main Menu>Financial Aid>Awards>Award Processing>Assign Departmental Awards:0:Update/Display,x,Main Menu>Financial Aid>Awards>Award Processing>Assign Departmental Awards
Main Menu>Financial Aid>Awards>Notification Letter>Award Notification One-Up:0:Update/Display,x,Main Menu>Financial Aid>Awards>Notification Letter>Award Notification One-Up
Main Menu>Financial Aid>Awards>Award Processing>Invoke Professional Judgment:0:Update/Display,x,Main Menu>Financial Aid>Awards>Award Processing>Invoke Professional Judgment
Main Menu>Financial Aid>Awards>Award Processing>Perform Mass Action:0:Update/Display,x,Main Menu>Financial Aid>Awards>Award Processing>Perform Mass Action
Main Menu>Financial Aid>Disbursement>Disburse Aid:0:Update/Display,x,Main Menu>Financial Aid>Disbursement>Disburse Aid
Main Menu>Financial Aid>Disbursement>Disburse Aid With Override:0:Update/Display,x,Main Menu>Financial Aid>Disbursement>Disburse Aid With Override
Main Menu>Financial Aid>Awards>Mass Packaging>View Results by Query:0:Update/Display,x,Main Menu>Financial Aid>Awards>Mass Packaging>View Results by Query
Main Menu>Financial Aid>Awards>Mass Packaging>View Results by Plan:0:Update/Display,x,Main Menu>Financial Aid>Awards>Mass Packaging>View Results by Plan
Main Menu>Financial Aid>Awards>Mass Packaging>View Results by Students:0:Update/Display,x,Main Menu>Financial Aid>Awards>Mass Packaging>View Results by Students
Main Menu>Financial Aid>View Packaging Status Summary:0:Update/Display,x,Main Menu>Financial Aid>View Packaging Status Summary
Main Menu>Financial Aid>Awards>Maintain User Edit Messages:0:Update/Display,x,Main Menu>Financial Aid>Awards>Maintain User Edit Messages
Main Menu>Financial Aid>Awards>External Awards>Add External Awards to Student:0:Update/Display,x,Main Menu>Financial Aid>Awards>External Awards>Add External Awards to Student
Main Menu>Financial Aid>Awards>External Awards>Add External Awards by Type:0:Update/Display,x,Main Menu>Financial Aid>Awards>External Awards>Add External Awards by Type
Main Menu>Financial Aid>Awards>External Awards>Manage External Award Data:0:Update/Display,x,Main Menu>Financial Aid>Awards>External Awards>Manage External Award Data
Main Menu>Financial Aid>Awards>External Awards>Manage External Awards by Type:0:Update/Display,x,Main Menu>Financial Aid>Awards>External Awards>Manage External Awards by Type
Main Menu>Financial Aid>Awards>External Awards>Manage Student External Awards:0:Update/Display,x,Main Menu>Financial Aid>Awards>External Awards>Manage Student External Awards
Main Menu>Financial Aid>Awards>External Awards>Manage Awards by Status:0:Update/Display,x,Main Menu>Financial Aid>Awards>External Awards>Manage Awards by Status
Main Menu>Financial Aid>Awards>Repackaging>View Assigned Plans:0:Update/Display,x,Main Menu>Financial Aid>Awards>Repackaging>View Assigned Plans
Main Menu>Financial Aid>Awards>Repackaging>View Selected Students:0:Update/Display,x,Main Menu>Financial Aid>Awards>Repackaging>View Selected Students
Main Menu>Financial Aid>Awards>Repackaging>View Students by Plan:0:Update/Display,x,Main Menu>Financial Aid>Awards>Repackaging>View Students by Plan
Main Menu>Financial Aid>Return to Title IV Funds>Track PW Disbursement:0:Update/Display,x,Main Menu>Financial Aid>Return to Title IV Funds>Track PW Disbursement
Main Menu>Financial Aid>Return to Title IV Funds>Track TIV Funds Return:0:Update/Display,x,Main Menu>Financial Aid>Return to Title IV Funds>Track TIV Funds Return
Main Menu>Financial Aid>Return to Title IV Funds>Review Summary of TIV Return:0:Update/Display,x,Main Menu>Financial Aid>Return to Title IV Funds>Review Summary of TIV Return
Main Menu>Financial Aid>Awards>Award Processing>Identify Education Resources:0:Update/Display,x,Main Menu>Financial Aid>Awards>Award Processing>Identify Education Resources
Main Menu>Financial Aid>Loans>Commonline Management>Override Loan Status:0:Update/Display,x,Main Menu>Financial Aid>Loans>Commonline Management>Override Loan Status
Main Menu>Financial Aid>Financial Aid History>View Originated Loans:0:Update/Display,x,Main Menu>Financial Aid>Financial Aid History>View Originated Loans
Main Menu>Financial Aid>File Management>Loan Counseling>Manage COD Counseling Suspense:0:Update/Display,x,Main Menu>Financial Aid>File Management>Loan Counseling>Manage COD Counseling Suspense
Main Menu>Financial Aid>Loans>Commonline Management>Maintain Originated Loans:0:Update/Display,x,Main Menu>Financial Aid>Loans>Commonline Management>Maintain Originated Loans
Main Menu>Financial Aid>Loans>Commonline Management>Enter ALT Loan Prom Notes:0:Update/Display,x,Main Menu>Financial Aid>Loans>Commonline Management>Enter ALT Loan Prom Notes
Main Menu>Financial Aid>Loans>Commonline Management>Enter PLUS Prom Notes:0:Update/Display,x,Main Menu>Financial Aid>Loans>Commonline Management>Enter PLUS Prom Notes
Main Menu>Financial Aid>Loans>Commonline Management>Enter Stafford Prom Notes:0:Update/Display,x,Main Menu>Financial Aid>Loans>Commonline Management>Enter Stafford Prom Notes
Main Menu>Financial Aid>File Management>Loan Counseling>Manage Exit Counsel Suspense:0:Update/Display,x,Main Menu>Financial Aid>File Management>Loan Counseling>Manage Exit Counsel Suspense
Main Menu>Financial Aid>Loans>View Lender Selection:0:Update/Display,x,Main Menu>Financial Aid>Loans>View Lender Selection
Main Menu>Financial Aid>Loans>Commonline Management>View CL4 PLUS/Alt Prom Notes:0:Update/Display,x,Main Menu>Financial Aid>Loans>Commonline Management>View CL4 PLUS/Alt Prom Notes
Main Menu>Financial Aid>Loans>Commonline Management>View CL4 Stafford Prom Notes:0:Update/Display,x,Main Menu>Financial Aid>Loans>Commonline Management>View CL4 Stafford Prom Notes
Main Menu>Financial Aid>Loans>Direct Lending Management>Hold/Suspend Change Data:0:Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Management>Hold/Suspend Change Data
Main Menu>Financial Aid>Loans>Direct Lending Management>Review Promissory Note Actions:0:Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Management>Review Promissory Note Actions
Main Menu>Financial Aid>Loans>View Promissory Note:0:Update/Display,x,Main Menu>Financial Aid>Loans>View Promissory Note
Main Menu>Financial Aid>Loans>Direct Lending Management>Override Processing Status:0:Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Management>Override Processing Status
Main Menu>Financial Aid>Loans>Direct Lending Management>Override Loan Application Data:0:Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Management>Override Loan Application Data
Main Menu>Financial Aid>File Management>Commonline Loans>Review CL 4 File Transactions:0:Update/Display,x,Main Menu>Financial Aid>File Management>Commonline Loans>Review CL 4 File Transactions
Main Menu>Financial Aid>Loans>Commonline Management>Maintain CL Disbursements:0:Update/Display,x,Main Menu>Financial Aid>Loans>Commonline Management>Maintain CL Disbursements
Main Menu>Financial Aid>Loans>Direct Lending Management>Review Manifest Batches:0:Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Management>Review Manifest Batches
Main Menu>Financial Aid>Loans>Direct Lending Management>Manage Direct Loan Application:0:Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Management>Manage Direct Loan Application
Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>View Direct Loan Change Fields:0:Update/Display,x,Main Menu>Set Up SACR>Product Related>Financial Aid>Loans>View Direct Loan Change Fields
Main Menu>Financial Aid>Loans>Direct Lending Management>View Promissory Note Actions:0:Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Management>View Promissory Note Actions
Main Menu>Financial Aid>Loans>Commonline Management>Review Hold/Release Errors:0:Update/Display,x,Main Menu>Financial Aid>Loans>Commonline Management>Review Hold/Release Errors
Main Menu>Financial Aid>Loans>Review Exception Messages:0:Update/Display,x,Main Menu>Financial Aid>Loans>Review Exception Messages
Main Menu>Financial Aid>Loans>View Loan Transfer ID Records:0:Update/Display,x,Main Menu>Financial Aid>Loans>View Loan Transfer ID Records
Main Menu>Financial Aid>Loans>View Disbursement Status:0:Update/Display,x,Main Menu>Financial Aid>Loans>View Disbursement Status
Main Menu>Financial Aid>Loans>Direct Lending Management>View Loan Processing Actions:0:Update/Display,x,Main Menu>Financial Aid>Loans>Direct Lending Management>View Loan Processing Actions
Main Menu>Financial Aid>Loans>Commonline Management>Loan Transmission Information:0:Update/Display,x,Main Menu>Financial Aid>Loans>Commonline Management>Loan Transmission Information
Main Menu>Financial Aid>Loans>View Loan Application Status:0:Update/Display,x,Main Menu>Financial Aid>Loans>View Loan Application Status
Main Menu>Financial Aid>Loans>View Originated Loans:0:Update/Display,x,Main Menu>Financial Aid>Loans>View Originated Loans
Main Menu>Financial Aid>Loans>Commonline Management>View CRC Loan Status Codes:0:Update/Display,x,Main Menu>Financial Aid>Loans>Commonline Management>View CRC Loan Status Codes
Main Menu>Financial Aid>File Management>Commonline Loans>CRC Document Management:0:Update/Display,x,Main Menu>Financial Aid>File Management>Commonline Loans>CRC Document Management
Main Menu>Financial Aid>File Management>Commonline Loans>CRC Award Management:0:Update/Display,x,Main Menu>Financial Aid>File Management>Commonline Loans>CRC Award Management
Main Menu>Financial Aid>File Management>Loan Counseling>View Exit Counseling Staging:0:Update/Display,x,Main Menu>Financial Aid>File Management>Loan Counseling>View Exit Counseling Staging
Main Menu>Financial Aid>Loans>View Perkins Loan Indebtedness:0:Update/Display,x,Main Menu>Financial Aid>Loans>View Perkins Loan Indebtedness
Main Menu>Financial Aid>File Management>Commonline Loans>Business Document Errors:0:Update/Display,x,Main Menu>Financial Aid>File Management>Commonline Loans>Business Document Errors
Main Menu>Financial Aid>File Management>Commonline Loans>Business Document Summary:0:Update/Display,x,Main Menu>Financial Aid>File Management>Commonline Loans>Business Document Summary
Main Menu>Financial Aid>File Management>Commonline Loans>View CL 4 EFT Records:0:Update/Display,x,Main Menu>Financial Aid>File Management>Commonline Loans>View CL 4 EFT Records
Main Menu>Financial Aid>File Management>Commonline Loans>View CL 4 Change Records:0:Update/Display,x,Main Menu>Financial Aid>File Management>Commonline Loans>View CL 4 Change Records
Main Menu>Financial Aid>File Management>Commonline Loans>View CL 4 Application Records:0:Update/Display,x,Main Menu>Financial Aid>File Management>Commonline Loans>View CL 4 Application Records
Main Menu>Financial Aid>File Management>Commonline Loans>View CL 4 Response Records:0:Update/Display,x,Main Menu>Financial Aid>File Management>Commonline Loans>View CL 4 Response Records
Main Menu>Financial Aid>Loans>Commonline Management>View CL 4 Lenders:0:Update/Display,x,Main Menu>Financial Aid>Loans>Commonline Management>View CL 4 Lenders
Main Menu>Financial Aid>Loans>Commonline Management>View CL 4 Loan Servicers:0:Update/Display,x,Main Menu>Financial Aid>Loans>Commonline Management>View CL 4 Loan Servicers
Main Menu>Financial Aid>File Management>Commonline Loans>View CRC Staging Table Records:0:Update/Display,x,Main Menu>Financial Aid>File Management>Commonline Loans>View CRC Staging Table Records
Main Menu>Financial Aid>Loans>View Perkins MPN:0:Update/Display,x,Main Menu>Financial Aid>Loans>View Perkins MPN
Main Menu>Financial Aid>File Management>Pell Grants>Review Pell Outbound Batches:0:Update/Display,x,Main Menu>Financial Aid>File Management>Pell Grants>Review Pell Outbound Batches
Main Menu>Financial Aid>File Management>Pell Grants>View Pell Phase-In Inbound:0:Update/Display,x,Main Menu>Financial Aid>File Management>Pell Grants>View Pell Phase-In Inbound
Main Menu>Financial Aid>Pell Payment>Cash Management Reports>Review Statement of Account:0:Update/Display,x,Main Menu>Financial Aid>Pell Payment>Cash Management Reports>Review Statement of Account
Main Menu>Financial Aid>File Management>Pell Grants>View Pell Data Request:0:Update/Display,x,Main Menu>Financial Aid>File Management>Pell Grants>View Pell Data Request
Main Menu>Financial Aid>Pell Payment>Multiple Reporting>Review MRR:0:Update/Display,x,Main Menu>Financial Aid>Pell Payment>Multiple Reporting>Review MRR
Main Menu>Financial Aid>File Management>Pell Grants>View Pell Phase-In Outbound:0:Update/Display,x,Main Menu>Financial Aid>File Management>Pell Grants>View Pell Phase-In Outbound
Main Menu>Financial Aid>Pell Payment>Cash Management Reports>Review Reconciliation:0:Update/Display,x,Main Menu>Financial Aid>Pell Payment>Cash Management Reports>Review Reconciliation
Main Menu>Financial Aid>Pell Payment>Year To Date Reports>Review YTD Records:0:Update/Display,x,Main Menu>Financial Aid>Pell Payment>Year To Date Reports>Review YTD Records
Main Menu>Financial Aid>File Management>COD Full Participant>View COD Data:0:Update/Display,x,Main Menu>Financial Aid>File Management>COD Full Participant>View COD Data
Main Menu>Financial Aid>Pell Payment>Manage Pell Payment:0:Update/Display,x,Main Menu>Financial Aid>Pell Payment>Manage Pell Payment
Main Menu>Financial Aid>File Management>COD Full Participant>Federal Work Study Data:0:Update/Display,x,Main Menu>Financial Aid>File Management>COD Full Participant>Federal Work Study Data
Main Menu>Financial Aid>File Management>COD Full Participant>View FWS COD Data:0:Update/Display,x,Main Menu>Financial Aid>File Management>COD Full Participant>View FWS COD Data
