NAV_PERMS,FA Manager 3,Clean_NAV
Main Menu>Curriculum Management>Schedule of Classes>Class Search:0:Add Update/Display,x,Main Menu>Curriculum Management>Schedule of Classes>Class Search
Main Menu>Student Admissions>3 C's and Event Summaries>Event Summary:0:Update/Display All,x,Main Menu>Student Admissions>3 C's and Event Summaries>Event Summary
Main Menu>Student Admissions>Application Entry>Personal Information>Names:1:Update/Display Update/Display All,x,Main Menu>Student Admissions>Application Entry>Personal Information>Names
Main Menu>Student Admissions>Application Entry>Personal Information>Residency:1:Update/Display Update/Display All,x,Main Menu>Student Admissions>Application Entry>Personal Information>Residency
Main Menu>Student Admissions>Application Entry>Academic Information>Student Groups:1:Update/Display Update/Display All,x,Main Menu>Student Admissions>Application Entry>Academic Information>Student Groups
Main Menu>Student Admissions>Application Maintenance>Maintain Applications:1:Update/Display Update/Display All,x,Main Menu>Student Admissions>Application Maintenance>Maintain Applications
Main Menu>Student Admissions>Application Maintenance>Add/Update a Person:1:Update/Display Update/Display All,x,Main Menu>Student Admissions>Application Maintenance>Add/Update a Person
Main Menu>Campus Community>Personal Information>Identification>External System ID:1:Update/Display Update/Display All,x,Main Menu>Campus Community>Personal Information>Identification>External System ID
Main Menu>Campus Community>Personal Information (Student)>Identification (Student)>External System ID:1:Update/Display Update/Display All,x,Main Menu>Campus Community>Personal Information (Student)>Identification (Student)>External System ID
Main Menu>Academic Advisement>Academic Requirements>Define Course Lists:1:Update/Display Update/Display All,x,Main Menu>Academic Advisement>Academic Requirements>Define Course Lists
Main Menu>Academic Advisement>Academic Requirements>Define Academic Requirements:1:Update/Display Update/Display All,x,Main Menu>Academic Advisement>Academic Requirements>Define Academic Requirements
Main Menu>Set Up SACR>Product Related>Student Records>Curriculum Management>Instruction Mode:1:Update/Display Update/Display All,x,Main Menu>Set Up SACR>Product Related>Student Records>Curriculum Management>Instruction Mode
Main Menu>Set Up SACR>Product Related>Student Records>Curriculum Management>Classroom Scheduling Interface:1:Update/Display Update/Display All,x,Main Menu>Set Up SACR>Product Related>Student Records>Curriculum Management>Classroom Scheduling Interface
Main Menu>Set Up SACR>Product Related>Student Records>Curriculum Management>Course Attributes:1:Update/Display Update/Display All,x,Main Menu>Set Up SACR>Product Related>Student Records>Curriculum Management>Course Attributes
Main Menu>Curriculum Management>Instructor/Advisor Information>Instructor/Advisor Table:1:Update/Display Update/Display All,x,Main Menu>Curriculum Management>Instructor/Advisor Information>Instructor/Advisor Table
Main Menu>Set Up SACR>Product Related>Student Records>Curriculum Management>Requirement Designation Table:1:Update/Display Update/Display All,x,Main Menu>Set Up SACR>Product Related>Student Records>Curriculum Management>Requirement Designation Table
Main Menu>Set Up SACR>Product Related>Student Records>Curriculum Management>Course Typically Offered:1:Update/Display Update/Display All,x,Main Menu>Set Up SACR>Product Related>Student Records>Curriculum Management>Course Typically Offered
Main Menu>Set Up SACR>Product Related>Student Records>Curriculum Management>Dynamic Class Dates:1:Update/Display Update/Display All,x,Main Menu>Set Up SACR>Product Related>Student Records>Curriculum Management>Dynamic Class Dates
Main Menu>Curriculum Management>Enrollment Requirements>Enrollment Requisite Summary:0:Update/Display Update/Display All,x,Main Menu>Curriculum Management>Enrollment Requirements>Enrollment Requisite Summary
Main Menu>Curriculum Management>Dynamic Dates>Dynamic Class Dates Table:1:Update/Display Update/Display All,x,Main Menu>Curriculum Management>Dynamic Dates>Dynamic Class Dates Table
Main Menu>Curriculum Management>Enrollment Requirements>Enrollment Course Lists:1:Update/Display Update/Display All,x,Main Menu>Curriculum Management>Enrollment Requirements>Enrollment Course Lists
Main Menu>Curriculum Management>Enrollment Requirements>Enrollment Requirements:1:Update/Display Update/Display All,x,Main Menu>Curriculum Management>Enrollment Requirements>Enrollment Requirements
Main Menu>Curriculum Management>Enrollment Requirements>Enrollment Requirement Groups:1:Update/Display Update/Display All,x,Main Menu>Curriculum Management>Enrollment Requirements>Enrollment Requirement Groups
Main Menu>Curriculum Management>Enrollment Requirements>Define Tests for Requisites:1:Update/Display Update/Display All,x,Main Menu>Curriculum Management>Enrollment Requirements>Define Tests for Requisites
Main Menu>Curriculum Management>Enrollment Requirements>Define Requisite Prog Status:1:Update/Display Update/Display All,x,Main Menu>Curriculum Management>Enrollment Requirements>Define Requisite Prog Status
Main Menu>Curriculum Management>Enrollment Requirements>Define Requisite Conditions:1:Update/Display Update/Display All,x,Main Menu>Curriculum Management>Enrollment Requirements>Define Requisite Conditions
Main Menu>Curriculum Management>Enrollment Requirements>Define Requisite Entity Groups:1:Update/Display Update/Display All,x,Main Menu>Curriculum Management>Enrollment Requirements>Define Requisite Entity Groups
Main Menu>Curriculum Management>Enrollment Requirements>Define Requisite Student Group:1:Update/Display Update/Display All,x,Main Menu>Curriculum Management>Enrollment Requirements>Define Requisite Student Group
Main Menu>Curriculum Management>Course Catalog>Course Catalog:1:Update/Display Update/Display All,x,Main Menu>Curriculum Management>Course Catalog>Course Catalog
Main Menu>Curriculum Management>Course Catalog>Catalog Summary:0:Update/Display Update/Display All,x,Main Menu>Curriculum Management>Course Catalog>Catalog Summary
Main Menu>Curriculum Management>Enrollment Requirements>Course List Summary:0:Update/Display Update/Display All,x,Main Menu>Curriculum Management>Enrollment Requirements>Course List Summary
Main Menu>Curriculum Management>Enrollment Requirements>Enrollment Requirement Summary:0:Update/Display Update/Display All,x,Main Menu>Curriculum Management>Enrollment Requirements>Enrollment Requirement Summary
Main Menu>Records and Enrollment>Student Term Information>Term History:1:Update/Display Update/Display All,x,Main Menu>Records and Enrollment>Student Term Information>Term History
Main Menu>Records and Enrollment>Career and Program Information>Student Career:0:Update/Display Update/Display All,x,Main Menu>Records and Enrollment>Career and Program Information>Student Career
Main Menu>Records and Enrollment>Career and Program Information>Student Groups:1:Update/Display Update/Display All,x,Main Menu>Records and Enrollment>Career and Program Information>Student Groups
Main Menu>Records and Enrollment>Career and Program Information>Student Program/Plan:1:Update/Display Update/Display All,x,Main Menu>Records and Enrollment>Career and Program Information>Student Program/Plan
Main Menu>Campus Community>Personal Information (Student)>Biographical (Student)>Emergency Contacts:1:Update/Display,x,Main Menu>Campus Community>Personal Information (Student)>Biographical (Student)>Emergency Contacts
Main Menu>Campus Community>Personal Information (Student)>Biographical (Student)>Personal Attributes>Ethnicity:1:Update/Display,x,Main Menu>Campus Community>Personal Information (Student)>Biographical (Student)>Personal Attributes>Ethnicity
Main Menu>Campus Community>Personal Information (Student)>Biographical (Student)>Personal Attributes>Languages:1:Update/Display,x,Main Menu>Campus Community>Personal Information (Student)>Biographical (Student)>Personal Attributes>Languages
Main Menu>Campus Community>Personal Information (Student)>Biographical (Student)>Work Experience:1:Update/Display,x,Main Menu>Campus Community>Personal Information (Student)>Biographical (Student)>Work Experience
Main Menu>Campus Community>Personal Information (Student)>Biographical (Student)>Personal Attributes>Decedent Data:1:Update/Display,x,Main Menu>Campus Community>Personal Information (Student)>Biographical (Student)>Personal Attributes>Decedent Data
Main Menu>Campus Community>Personal Information (Student)>Add/Update a Person:1:Update/Display Update/Display All,x,Main Menu>Campus Community>Personal Information (Student)>Add/Update a Person
Main Menu>Campus Community>Personal Information (Student)>Biographical (Student)>Addresses/Phones>View Addresses:1:Correction,x,Main Menu>Campus Community>Personal Information (Student)>Biographical (Student)>Addresses/Phones>View Addresses
Main Menu>Campus Community>Personal Information (Student)>Biographical (Student)>Addresses/Phones>View Electronic Addresses:1:Correction,x,Main Menu>Campus Community>Personal Information (Student)>Biographical (Student)>Addresses/Phones>View Electronic Addresses
Main Menu>Campus Community>Personal Information (Student)>Biographical (Student)>Addresses/Phones>View Names:1:Correction,x,Main Menu>Campus Community>Personal Information (Student)>Biographical (Student)>Addresses/Phones>View Names
