Menu,Menubar,MENUITEM2,Page,Display only,Actions,7
ESTABLISH_COURSES,USE,SCHEDULE_CLASS_MTG,WORKLOAD_WRK,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_OF_CLASSES,CLASS_ENROLLMENT_CONTROL,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_OF_CLASSES,CLASS_TBL_GL,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_OF_CLASSES,CLASS_NOTES,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_OF_CLASSES,CLASS_ATTR_WRK,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_OF_CLASSES,CLASS_EXAM,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_OF_CLASSES,CLASS_LMS_SETUP,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_OF_CLASSES,CLASS_MEETING_PATTERN/INSTR,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_OF_CLASSES,CLASS_MEETING_PATTERN_WRK,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_OF_CLASSES,CLASS_RESERVE_CAPACITY,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_OF_CLASSES,CLASS_SCHEDULE_ENTRY,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_OF_CLASSES,CLASS_TBL_GL_WRK,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_OF_CLASSES,SSR_CLASS_TEXTBOOK,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_OF_CLASSES,WORKLOAD_WRK,0,2,2
ESTABLISH_COURSES,USE,SECTIONS_COMBINED,SECTIONS_COMBINED,0,2,2
ESTABLISH_COURSES,USE,SECTIONS_COMBINED,WORKLOAD_WRK,0,2,2
ESTABLISH_COURSES,USE,SECTIONS_COMBINED_TABLE,SECTIONS_COMBINED_TABLE,0,2,2
ESTABLISH_COURSES,CATALOG,SSS_BCC_SEL_CRSE,SSS_MYPLANNER_WRK2,0,2,2
ESTABLISH_COURSES,CATALOG,SSS_BCC_SEL_CRSE,SSS_BCC_SEL_CRSE,0,2,2
ESTABLISH_COURSES,CATALOG,SSS_BCC_SEL_CRSE,SSS_BCC_WRK2,0,2,2
ESTABLISH_COURSES,CATALOG,SSS_BROWSE_CATLG,SSS_BROWSE_CATLG,0,2,2
ESTABLISH_COURSES,CATALOG,SSS_BROWSE_CATLG,SSS_BCC_WRK2,0,2,2
ESTABLISH_COURSES,CATALOG,SSS_CRSE_OFFER_DTL,SSS_CRSE_OFFER_DTL,0,2,2
ESTABLISH_COURSES,CATALOG,SSS_CRSE_OFFER_DTL,SSS_MYPLANNER_WRK2,0,2,2
ESTABLISH_COURSES,CATALOG,SSS_CRSE_OFFER_DTL,SSS_BCC_SELCAR,0,2,2
ESTABLISH_COURSES,CATALOG,SSS_CRSE_OFFER_DTL,SSS_CRSE_OFFER_WRK,0,2,2
ESTABLISH_COURSES,INQUIRE,CATALOG_SEARCH,SSR_CATLSRCH_ENTRY,0,2,2
ESTABLISH_COURSES,INQUIRE,CATALOG_SEARCH,SSR_CATLSRCH_RSLT,0,2,2
ESTABLISH_COURSES,INQUIRE,CLASS_MEETING_PATTERN_DISPLAY,CLASS_MEETING_PATTERN,0,2,2
MANAGE_ACADEMIC_RECORDS,INQUIRE,ENRL_REQ1_INQUIRY,ENRL_REQ1_INQUIRY,0,2,2
MANAGE_ACADEMIC_RECORDS,INQUIRE,ENROLLMENT_SUMMARY,ENROLLMENT_SUMMARY,0,2,2
MANAGE_ACADEMIC_RECORDS,INQUIRE,ENROLLMENT_SUMMARY,TERM_STATISTICS,0,2,2
MANAGE_ACADEMIC_RECORDS,INQUIRE,STUDENT_GRADES,STUDENT_GRADE_INQUIRY,0,2,2
MANAGE_ACADEMIC_RECORDS,INQUIRE,STUDENT_GRADES,TERM_STATISTICS2,0,2,2
MANAGE_ACADEMIC_RECORDS,INQUIRE,STUDENT_TERM_SEARCH,STUDENT_TERM_SEARCH,0,2,2
MANAGE_ACADEMIC_RECORDS,USE,APPOINTMENTS,STUDENT_ENROLLMENT_APPOINTMENT,0,2,2
MANAGE_ACADEMIC_RECORDS,USE,ENROLLMENT,CAN_RPT_STDNT_CRSE,0,2,2
MANAGE_ACADEMIC_RECORDS,USE,ENROLLMENT,LAST_ENROLLMENT_ACTION,0,2,2
MANAGE_ACADEMIC_RECORDS,USE,ENROLLMENT,SSR_STDNT_ENRL_AUS,0,2,2
MANAGE_ACADEMIC_RECORDS,USE,ENROLLMENT,CAREER_TERM_STATS_WORK_PANEL,0,2,2
MANAGE_ACADEMIC_RECORDS,USE,ENROLLMENT,ENROLLMENT_WORK_PANEL,0,2,2
MANAGE_ACADEMIC_RECORDS,USE,ENROLLMENT,SSR_STDNT_ENRL_NZL,0,2,2
MANAGE_ACADEMIC_RECORDS,USE,ENROLLMENT,STUDENT_ENROLLMENT_1,0,2,2
MANAGE_ACADEMIC_RECORDS,USE,ENROLLMENT,STUDENT_ENROLLMENT_2,0,2,2
MANAGE_ACADEMIC_RECORDS,USE,ENROLLMENT,STUDENT_ENROLLMENT_3,0,2,2
MANAGE_ACADEMIC_RECORDS,USE,ENROLLMENT,STDNT_ENRL4,0,2,2
MANAGE_ACADEMIC_RECORDS,USE,ENROLLMENT_REQUEST,ENROLLMENT_REQUEST,0,2,2
MANAGE_ACADEMIC_RECORDS,USE,ENROLLMENT_REQUEST,LISTING_WORK_PANEL,0,2,2
MANAGE_ACADEMIC_RECORDS,USE,ENROLLMENT_REQUEST,REQUEST_WORK_PANEL,0,2,2
MANAGE_ACADEMIC_RECORDS,USE,STDNT_CONS_STAT,STDNT_CONS_STATS0,0,2,2
MANAGE_ACADEMIC_RECORDS,USE,STDNT_CONS_STAT,STDNT_CONS_STATS6,0,2,2
MANAGE_ACADEMIC_RECORDS,USE,STDNT_CONS_STAT,STDNT_CONS_STATS1,0,2,2
MANAGE_ACADEMIC_RECORDS,USE,STDNT_CONS_STAT,STDNT_CONS_STATS3,0,2,2
MANAGE_ACADEMIC_RECORDS,USE,TERM_ACTIVATION,ENROLLMENT_LIMIT,0,2,2
MANAGE_ACADEMIC_RECORDS,USE,TERM_ACTIVATION,SSR_LOAN_ELEC_AUS,0,2,2
MANAGE_ACADEMIC_RECORDS,USE,TERM_ACTIVATION,STDNT_EXT_STUDY,0,2,2
MANAGE_ACADEMIC_RECORDS,USE,TERM_ACTIVATION,SSR_STD_CRTRM_NZL,0,2,2
MANAGE_ACADEMIC_RECORDS,USE,TERM_ACTIVATION,STDNT_TUITION_CALC,0,2,2
MANAGE_ACADEMIC_RECORDS,USE,TERM_ACTIVATION,STDNT_SESSION,0,2,2
MANAGE_ACADEMIC_RECORDS,USE,TERM_ACTIVATION,TERM_ACTIVATION,0,2,2
MANAGE_ACADEMIC_RECORDS,USE,TERM_ACTIVATION,TERM_ACTIVATION_WRK,0,2,2
MANAGE_ACADEMIC_RECORDS,USE,TERM_ACTIVATION,TERM CONTROL DATES,0,2,2
MANAGE_ACADEMIC_RECORDS,USE,TERM_ACTIVATION,CAREER_RESIDENCY,0,2,2
MANAGE_ACADEMIC_RECORDS,USE,TERM_ACTIVATION,TRNS_XFR_WRK,0,2,2
TRACK_STUDENT_CAREERS,INQUIRE,STDNT_GROUPS_INQS,STDNT_GROUPS_SINQ,0,2,2
TRACK_STUDENT_CAREERS,USE,STUDENT_DEGREES,ACAD_DEGREE,0,2,2
TRACK_STUDENT_CAREERS,USE,STUDENT_DEGREES,ACAD_DEGREE_HONORS,0,2,2
TRACK_STUDENT_CAREERS,USE,STUDENT_DEGREES,ACAD_DEGREE_PLAN,0,2,2
TRACK_STUDENT_CAREERS,USE,STUDENT_DEGREES,ACAD_DEGREE_SUBPLN,0,2,2
UC_SR_CLASS_SCHED_SCTY,USE,UC_SR_SCH_SECURITY,UC_SCHED_SECURITY,0,2,2
COMMUNITY_ACCESS,TASKS,SCHEDULE_OF_CLASSES,SSR_CLSRCH_DTL,0,2,2
COMMUNITY_ACCESS,TASKS,SCHEDULE_OF_CLASSES,SSR_CLSRCH_ENTRY,0,2,2
COMMUNITY_ACCESS,TASKS,SCHEDULE_OF_CLASSES,SSR_CLSRCH_RSLT,0,2,2
COMMUNITY_ACCESS,TASKS,SCHEDULE_OF_CLASSES,SSR_CLSRCH_WRK,0,2,2
ESTABLISH_COURSES,INQUIRE,CLASS_SEARCH,SSR_CLSRCH_DTL,0,2,2
ESTABLISH_COURSES,INQUIRE,CLASS_SEARCH,SSR_CLSRCH_ENTRY,0,2,2
ESTABLISH_COURSES,INQUIRE,CLASS_SEARCH,SSR_CLSRCH_RSLT,0,2,2
ESTABLISH_COURSES,INQUIRE,CLASS_SEARCH,SSR_CLSRCH_WRK,0,2,2
EVALUATE_APPLICANTS,INQUIRE,PERSON_EVENT_SUM,PERSON_EVENT_SUM,0,4,4
PROCESS_APPLICATIONS,USE,NAMES,SCC_NAMES_89,0,6,6
PROCESS_APPLICATIONS,USE,RESIDENCY_DATA,RESIDENCY_APPEAL,0,6,6
PROCESS_APPLICATIONS,USE,RESIDENCY_DATA,RESIDENCY_SELF,0,6,6
PROCESS_APPLICATIONS,USE,RESIDENCY_DATA,RESIDENCY_OFFICIAL_1,0,6,6
PROCESS_APPLICATIONS,USE,RESIDENCY_DATA,RESIDENCY_OFFICIAL_2,0,6,6
PROCESS_APPLICATIONS,USE,STDNT_GROUPS,STDNT_GROUPS,0,6,6
PROCESS_APPLICATIONS,USE,APPLICATION_MAINTENANCE,SCC_BIO_DEMO_ADDR,0,6,6
PROCESS_APPLICATIONS,USE,APPLICATION_MAINTENANCE,SCC_BIO_DEMO_PERS,0,6,6
PROCESS_APPLICATIONS,USE,APPLICATION_MAINTENANCE,SSR_RS_CNDDTRE_ADM,0,6,6
PROCESS_APPLICATIONS,USE,APPLICATION_MAINTENANCE,SCC_PERSONAL_INFO,0,6,6
PROCESS_APPLICATIONS,USE,APPLICATION_MAINTENANCE,SCC_BIO_DEMO_REG,0,6,6
PROCESS_APPLICATIONS,USE,APPLICATION_MAINTENANCE,SAD_PESC_OTHER_SCH,0,6,6
PROCESS_APPLICATIONS,USE,APPLICATION_MAINTENANCE,SAD_APPL_CAF_TAB,0,6,6
PROCESS_APPLICATIONS,USE,APPLICATION_MAINTENANCE,SAD_APPL_REG_DATA,0,6,6
PROCESS_APPLICATIONS,USE,APPLICATION_MAINTENANCE,APPLICATION_MAINTENANCE_3,0,6,6
PROCESS_APPLICATIONS,USE,APPLICATION_MAINTENANCE,ADM_APPL_ENTRY4,0,6,6
PROCESS_APPLICATIONS,USE,APPLICATION_MAINTENANCE,APPLICATION_MAINTENANCE_2,0,6,6
PROCESS_APPLICATIONS,USE,APPLICATION_MAINTENANCE,ADM_APPL_STDNT_RSP,0,6,6
PROCESS_APPLICATIONS,USE,APPLICATION_MAINTENANCE,SCC_BIO_DEMO_CITI,0,6,6
PROCESS_APPLICATIONS,USE,APPLICATION_MAINTENANCE,SCC_BIO_DEMO_VISA,0,6,6
PROCESS_APPLICATIONS,USE,SCC_BIO_DEMO,SCC_BIO_DEMO_ADDR,0,6,6
PROCESS_APPLICATIONS,USE,SCC_BIO_DEMO,SCC_BIO_DEMO_PERS,0,6,6
PROCESS_APPLICATIONS,USE,SCC_BIO_DEMO,SCC_HE_PERSON_RES,0,6,6
